Id;Titulo;Canal;Midia;Veiculo;IdVeiculo;Programa;Avaliacao;Regiao;Estado;Cidade;NumeroCaracteres;Minutagem;Centimetragem;Valoracao;PageViews;DataCadastro;DataFonte;Abrangencia;Tier;Provedor;Url;IDV;
870087091;Exposição conta a história dos fotolivros feitos por mulheres;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;379;620631,4500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000284CFFB24962F3A795E4539C1D4FAA67C10C93DF457F5CF6AA402C2EF18DA9D422FF6665943B35B824D8E297AA6F2C6F989F1ADC20BB97ED862637C88D882B5C8B34CC586848892706F515CADA7AEA5D;
870087092;Vozes femininas dominam agenda de shows do fim de semana;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;600;982530,0000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000B7A555FE32D7B42C1679E55088BE8DC5EC4BE92CEEF75AE36C62870F2D99F9B6E47F63157C9D5C3105D8BA2C50CC38369242263BD889124AFEFFF1C36EE23549E1F34538C38564898B801EBCEDA21FA4;
870087093;Cirurgia robótica é realizada pela i.avezno SUS;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;565;925215,7500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000593EF8C904DA435F62FDC144E53689798C41B67A47B46C8FBB805770FDFB434CF2DDC24629A0E8B688BEFD5D6AB7C1BABADC6C6C9CE265FF9DE2F9EF0EFC1EEEC0691DAD1941CFB79F914E759FEBD1DA;
870087094;Orishas;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;67;109715,8500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000E7F8FB749D4C0F6F7F96BDDD7C281F03053613D3ED804C376A8C56AF486DD653DAA10EE08D46C20836093C1352A591139ACEF6694BD41848880634D7340651A281F69ADC9DB4322DA4DAB6D655AACE48;
870087095;Ziggy & Miles;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;68;111353,4000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000D272AD7993BE4536231F7D522264C36A8A2390EB96A0FA0CBABBC783C712F6BB991391E856214528B16870E2632522B0143E009CD4CD37EE2DC64237834AF31F5B73F0E6131CCE9C3D8B1F250F5092DA;
870087096;Trump não sabe como acabar com a guerra;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;1325;2169753,7500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000016506046CE03A672FC5A6B562AE29977EDB36B9B7464418C6B5AB0BFE70D84A4002D911766AB61EE4EE28982EFCB9A02F0C8171745628E5825BEA9FF3E92304935C221414D19FF009F11A2BBAD697AD0;
870087097;Maiores inovações do agronegócio virão de IA e nanotecnologia;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;1317;2156653,3500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000B8133BF966284564AAF75D3C7C39C544B9D55F25B0E5733D0FD856F8C1C5B490331937D144CD620BA467F081F4DC4046CDD65A5715D82A6B28276C12B5974F68163CD4CD0FD919642AF38074CF01E565;
870087098;Paisagem carioca no concreto paulistano;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;1193;1953597,1500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000046E5A1A2E683C2C97B97F1A6F3A67DAB7758BDA74AA9729582D3EE6D918A214099510A322845FFF6F052BA2EAEA76BF6406ADBD1E8C52E66355230ABC06DFCC3B92DE7110B3F8A11E4C066106476B2BA;
870087099;Eleita melhor cafeteria do Brasil, Cupping aposta no artesanato;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;823;1347703,6500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000035AC8ABA9421D409AC314201A8CADB8D3257CC9F3B35149ABABB7EC4E51AC8D04582BA3E750AC8D9EBD0CD76C286A9A48288660B63CA57A01B57D01A0DC50A3F4006FF7EE3531951F7282572D20017A0;
870087100;Ainda dá tempo de se preparar para o Oscar;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;ESPAÇO ABERTO; ;SUDESTE;SP;SÃO PAULO; ; ;519;849888,4500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000BBA2CE69B85D02C69AFE17EC405EB9F2D8DD802557C48D9E0BD67F967F48438D1E97C8F220A3B1E419A17331E8DAD5DF9AF77C47F65D08B9B6BA95C3566C8828178BFA5213B719F0C14D24A5C6BAA991;
870087101;Israel ataca centro de Beirute e ameaça tomar partes do Líbano;Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;INTERNACIONAL; ;SUDESTE;SP;SÃO PAULO; ; ;796;1303489,8000; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000512F177B0F2F30733E7D24324E70775C56BC5AB7C83AD5FF30AF53AEF8A5F7B764FDDF348DA58FFC27D585BDF675563B19B01579775ACB3887CDA3511D3FFAF72A1FB3D6B10335BE1542DD1887FF1C1C;
870087102;'O Agente Secreto';Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;143;234169,6500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000E9E3E886D246CB026B959C13BB2C6C52C2B49EC425CDE4919F6F524AC11305F46DE095D5EEFB52AEC4430C8B0859625731602E00ABEFDF3D0DA0F7B0EB8DD4B73E694CCE5100FA133B7692AEF71587D3;
870087103;'Uma Batalha Após a Outra';Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;127;207968,8500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF02000000345E201CEA768D01779B954AB63C0701E5914A149763AD93326F0F5A247A6098711F4117560D4C84FC16F21AC3C88A40444C670787D56958FD8590C0CB78E8C8BC47579D44A338F6D17342F3BA36DDE1;
870087104;'Bugonia';Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;127;207968,8500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000041EDAC35511DDC9924277684837B542773E8197DD1FE3721D704C78AA107BFA4164CAF2AF514C87D8FE70B96DEC943D22A4685CDEDF0DC5AC2BC62529B9291756EA620A3C97D785447BF56FA6A5DE8AF;
870087105;'Fl: O Filme';Impressos;Impresso;O ESTADO DE S.PAULO/SÃO PAULO;675;GERAL; ;SUDESTE;SP;SÃO PAULO; ; ;127;207968,8500; ;13/03/2026 03:20:00;13/03/2026 03:00:00;Escopo IDM; ;209; ;https://visualizacao.boxnet.com.br/?t=00DDC949574BA14ABD49C962CBECD7EF0200000095A7B9A225707C6A911EF334263A1D95D4D4378A1237AD9F50B5547ECBB3D9E7B39885DFA83A232E09DA42F0B0D794FD8DB441DBCD120313C6008B144C83F8E08886F9AF577B725F0B32BAAC8F5E2957;
